# Measured behaviour of every reproducer in this directory.
#
# Regenerate with ./verify.sh --record, and READ THE DIFF: a line
# that moved in the STOCK column means upstream's behaviour changed,
# which is the event that retires a row from README.md.  A line that
# moved in the BRANCH column with stock unchanged is a regression
# here, or a fix here, and the README Status column should follow.
#
# stock:  clang version 24.0.0git (https://github.com/llvm/llvm-project.git dbac421efa19a5901f2511958040e18e8188b112)
# branch: clang version 24.0.0git (git@bbgithub.dev.bloomberg.com:jberne4/llvm-project.git a4554317bb3589635bac3286f9a4e526661eb3b7)
# dated:  2026-09-16
#
# id | stock | branch
CLANG-1|clean|error[11:c4a48c7e]
CLANG-2|clean exit:255 out:[clang-02/clang-02-ubsan-bool-recover.c:38:11: runtime error: load of value 2, which is not a valid value for type '_Bool' SUMMARY: UndefinedBehaviorSanitizer: u]|clean exit:255 out:[clang-02/clang-02-ubsan-bool-recover.c:38:11: runtime error: load of value 2, which is not a valid value for type '_Bool' SUMMARY: UndefinedBehaviorSanitizer: u]
CLANG-5|clean exit:1 out:[]|clean exit:1 out:[]
CLANG-5b|clean exit:7 out:[]|clean exit:7 out:[]
CLANG-5b2|clean exit:7 out:[]|clean exit:7 out:[]
CLANG-8-1|clean|clean
CLANG-8-2|clean|clean
CLANG-8-3|error[1:28fc5e23]|error[1:28fc5e23]
CLANG-8-4|error[1:dcf53439]|error[1:dcf53439]
CLANG-8-5|error[1:7c74a75c]|error[1:7c74a75c]
CLANG-8-6|error[1:6aa2bcc0]|error[1:6aa2bcc0]
CLANG-8-7|error[2:f4dffc1a]|error[2:f4dffc1a]
CLANG-8-8|error[1:becd9acc]|error[1:becd9acc]
CLANG-8-9|clean|clean
CLANG-8-10|clean|clean
CLANG-8-11|error[1:3a66dce8]|error[1:3a66dce8]
CLANG-9|clean[1:0bf35b81]|clean[1:0bf35b81]
